id	path	sha256	result_summary	total	passed	failed	skipped	failed_census_id
TR055	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v6.trx	9EC1D7946FE992A237E95C843928B89132AFA31DEFE23C2F5FEAC8BE57553076	Failed	1	0	1	0	FR026
TR056	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-kestrel-server-read-red.trx	1B4F7542DE5CD4FE7B70B234C1322550750D06EE6A80BA4B22F6C20FEA115A39	Failed	1	0	1	0	FR027
TR057	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-phase-c-positive-v2.trx	6BB13E847861F924002DC6A4377934C2A6283B74787C10450063EA4950259C5D	Failed	7	6	1	0	FR028
TR058	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-phase-c-positive.trx	726067569F394CDB57C993C0723B29D4582D3B473C92214395B90B0C5D745DB3	Failed	7	6	1	0	FR029
TR059	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-positive-absence-correction-check.trx	DD9A632EFA2F1ECBCE26A5D8B332D275767EA4CFE41A23EA8D0FBE0A5C6F8598	Failed	3	2	1	0	FR030
TR060	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-positive-absence-correction-v2.trx	C704FEDDBED572E1CAA1F5C7099F7E4B6DD9273D0B520518D4BE7BE817888B91	Completed	3	3	0	0	
TR061	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-positive-absence-shared-baseline.trx	98546CF6B995EE00A4F74E9B2DF78684288DEAC1E6C0F17A5B76C3E15F23E5E3	Completed	6	6	0	0	
TR062	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-re01-mechanism-phase-a-joined.trx	E33BC4BF9F67F8C8057EBF89B89C15BB0E86D8E5397A791DE6CF7B0B4FD64CFC	Completed	6	6	0	0	
TR063	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-replay-body-read-final-source-red.trx	9DC6A612A2B8255930A1FFD07EF64F8CBC6B99158075871C36020BF925125FFA	Failed	2	0	2	0	FR031
TR064	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-replay-body-read-red.trx	6AA65D2787B2C6580065CCD42590558AF53DDE79996B714B050977C721E0A32E	Failed	2	0	2	0	FR032
TR065	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-response-loss-diagnostic.trx	90DC775A2943C35DE00BAFC4794BE0E517869BAB15EB10F357A86B595786CBFC	Completed	0	0	0	0	
TR066	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-seven-scenario-phase-a-joined.trx	278A7D598318FA93C12E51A0A7E4CE512C6DFCACF8A068C0A4A9889067E7B469	Completed	7	7	0	0	
TR067	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-devcert-diagnostic.trx	E0409EA219D1B844AA5B79E449AE6709DD5F6EF96102842C4D915AC26BA37171	Completed	1	1	0	0	
TR068	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-diagnostic-v2.trx	6D225B82A00B5813F7E81FCCC6A1F95B85C7C97B8A077FBB36FB3ACCBB68F551	Failed	1	0	1	0	FR033
TR069	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-final-positive.trx	E908D45FFA78D9402A83C6DD3C2FE5D43334FE1FF88B8054D29E307D959D0CE2	Completed	1	1	0	0	
TR070	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-positive-control.trx	59E8C37A5966754F4F220FA5B1C7BF3B04BECEFAED0BB8160FB8AA751997ECBA	Failed	1	0	1	0	FR034
TR071	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-terminal-unknown-object-correction-check.trx	71CC15FEAB0F8926C7EF8A8787D5A95E1CFFEFA486AC31D0E63D012B4C96FE2D	Failed	1	0	1	0	FR035
TR072	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-terminal-unknown-object-diagnostic-v2.trx	33292656E359529017FDDEDC79FB62242731E0478808144360C79F356CB13EA8	Failed	1	0	1	0	FR036
TR073	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th1-agent-r5-phase-a.trx	2642950383728D39294B06757F3984771C415C020BA00BD3EA03EE13D5C47E70	Completed	1	1	0	0	
TR074	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th10-stage-catalogue-phase-a.trx	6E8867D753660A64D588A603509B5FA3062F1EF5537A29AB2A08F93A6F606627	Completed	1	1	0	0	
TR075	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th3-cancel-at-committed-phase-a-v2.trx	414EE636905ABB302C811511AF02D978B16B851620C36C9B418535C28828DFEE	Completed	1	1	0	0	
TR076	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th3-cancel-at-committed-phase-a-v3.trx	B25F1B960A11247D9F408E54D117995BC43B3021316A9EE9020BCC7DCF571FD9	Completed	1	1	0	0	
TR077	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th3-cancel-at-committed-phase-a.trx	A36088D24FB43E1F60C601B6227079934F6BAFCB0047C3D88AE89A9D1FF23ABE	Failed	1	0	1	0	FR037
TR078	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th4-th9-retry-phase-a.trx	F3BF7D6DED08B54456710EBA23D0A47FD2F627806C99663B7478BB9386E58D51	Completed	1	1	0	0	
TR079	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-r2r6-th6-agent-expired-lease-phase-a.trx	24F623E9A378D5A7C6577AB0752BC85B5A69A77833BB0EE8DFF94426FC8B9083	Completed	2	2	0	0	
TR080	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th6-o20-replay-http-phase-a.trx	7592508B35331F09E1141CD5434BCCAD43CB1125AEE34798B59EEE9FB44AAD96	Completed	1	1	0	0	
TR081	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th6-tampered-ciphertext-http-phase-a.trx	9950247F5E9C921DEA30311F9BAF4085896D12EE0ACD2C52C9FADDD18A008E3C	Completed	1	1	0	0	
TR082	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-entry-gate-diagnostic.trx	0B30A78D1525CA7FFD5966F2C1A97D74D85079855D31CC6198882A5D672F357C	Failed	4	0	4	0	FR038
TR083	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-extended-horizon-diagnostic.trx	F07B67A2EA85EB9FDC0228E57795D05EA0B5182BB1AA518656C0336384B664AE	Failed	1	0	1	0	FR039
TR084	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-long-margin-diagnostic.trx	1ED5B1EF3758CB8521CC206ECDD2FD3BA97E3D27D4F361AF66C0A0C4CBBEA905	Failed	1	0	1	0	FR040
TR085	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-publication-insert-diagnostic.trx	4422402E4378028089203FBBA5FEEC74BC89C72FFF87E2CF19597D43F36A87AD	Failed	1	0	1	0	FR041
TR086	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-quay-entry-gate-diagnostic.trx	5C025344D58C11732C2FA845FDE82D7CC24E5AEFFD1F25AF068EF2AA827788E7	Completed	4	4	0	0	
TR087	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-quay-fixture-sentinels.trx	6D32C1CACEF160CBFE491653827EB820D9A61C02ADBE786B05CF8BCC9E8B806D	Completed	2	2	0	0	
TR088	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-quay-hardened-focused.trx	C492B3FFDF404DBD75B953AA65A487699752F7E6D817F2E44A2FB2D889873902	Completed	4	4	0	0	
TR089	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-quay-restored-four-scenario.trx	149F985C270F6A97A4C70F95836F21FA8B2DEB97165C984B6E85400B3272CD32	Completed	4	4	0	0	
TR090	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-restored-three-scenario.trx	95478F946C1368A40F40BCF005639EC0DCD029630484651F8A22F12E3A02C887	Completed	3	3	0	0	
TR091	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-same-source-diagnostic.trx	9F905A0455A0CFBDAAA7233BB7D0F763E2916F192FBDE597F5F25893F8A949D7	Failed	3	2	1	0	FR042
TR092	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th7-skip-cleanup-red.trx	44DC0101C3EA6A647E6D4B04F1B44F559A5D93B8E99ED326FC730C1E969FE175	Failed	1	0	1	0	FR043
TR093	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th8-agent-reentry-phase-a.trx	FD18901D97C98AD07C5025E370F6343039773A2855159D3DE18BDCB74C2DE8B5	Completed	1	1	0	0	
TR094	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th8-successor-r2r5-phase-a-v2.trx	3163A770FDFD3F4D3801FFFCBF9160868BEF93E3F3CC11DDFC9DB46FAB2AF2F6	Completed	1	1	0	0	
TR095	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th8-successor-r2r5-phase-a.trx	CEA397C9948635CBB9673201F4A3B9CF0F0C10F403923C5194156D791CFC6E1A	Failed	1	0	1	0	FR044
TR096	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th9-encryption-failure-phase-a-v2.trx	54DA7B0C9BEF999BAA12A22223C69321FF3FDDFD372E09640F1F54160BDFD6D9	Completed	1	1	0	0	
TR097	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th9-encryption-failure-phase-a.trx	48DA3D6523010243D26189205D89120E0E6B608B7F8467E6C282B59053FA274E	Failed	1	0	1	0	FR045
TR098	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th9-encryption-failure-wire-phase-a-v2.trx	48E0615873918153E779651A4E9952F4DCBF5B6D6A2D834C7E7B9F766FEB218E	Completed	1	1	0	0	
TR099	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th9-encryption-reconciliation-phase-a.trx	C776E04AA40DD3AD6775E396DFF34DE310B935640C49D39A26E06C12A2D9FB35	Completed	1	1	0	0	
TR100	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-baseline.trx	CC0F57D0670EF0D19BC5CAB8DCDDE55C35D6A0AE22A11915760E043A921DB1E7	Completed	2	2	0	0	
TR101	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-final-baseline.trx	D777B76D1C7B35A81C3B126392F14DF5841068CC2F2713A021DBA10BE186AFE3	Completed	2	2	0	0	
TR102	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-final-guard-red.trx	A33808B13806F78A4E622B4EAA9CD818B88BA648C164701C66E4590A29DB953A	Failed	2	1	1	0	FR046
TR103	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-final-restored-joined-v2.trx	E5BECA0E20A12FA4EA3BCD57471D0A17E61FD798105325D3CBD6749806DCDCE4	Completed	5	5	0	0	
TR104	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-final-restored-joined.trx	EECA94235DF240FC7693F259B694E9466687F28D1295CE92E2467BC3E82C5914	Failed	5	0	5	0	FR047
TR105	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-guard-red.trx	F4C78DB0462FC34302D8C67F297156FA5637F8B7CE2BF5A0D078F2EB6E66CD20	Failed	2	1	1	0	FR048
TR106	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-ti-r3-restored-green.trx	C50ACCE8027BCD6FC47A5F63C19D10334C1EDEB051393B4996D9D01D8B973054	Completed	2	2	0	0	
TR107	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-transport-candidate-focused.trx	706416B6485477095B02B7FD61FBEB19D37D7DE7CFC5233709EB94F8CC8ED211	Completed	3	3	0	0	
TR108	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-transport-candidate-joined-baseline.trx	924B8779600C0D4C23BBC0E7077BD125EFB0FBAB15DB460DECB55970E401DBC2	Completed	7	7	0	0	
TR109	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-transport-three-scenario-diagnostic.trx	E8511F9712D8A3B70DB72FECE6B159122F08CDF43058F14F73BA791FAABCA414	Completed	3	3	0	0	
